item_id,item_total_interactions,item_unique_users,item_purchase_count,item_conversion_rate,item_total_quantity_sold,item_total_revenue,item_avg_order_value,item_unique_buyers,item_avg_rating,item_view_count,item_click_count,item_cart_count,category,item_category_enc,brand,item_brand_enc,price,item_price_log,stock,item_stock_norm,review_count,item_review_count_log,popularity_score,item_popularity_score_norm,item_avg_sentiment,trend_score,item_trend_score_norm,item_return_rate,is_active
ITEM_0012,7,7,3,0.42857142857142855,7,17701.18,5900.393333333333,3,2.4,1,2,3,Beauty,0,BrandAlpha,0,2528.74,7.835871809642278,468,0.936,714,6.5722825426940075,0.0011,0.0,-0.7623,53.51,0.5350210126075645,0.093,True
ITEM_0372,13,12,2,0.15384615384615385,8,28782.64,14391.32,2,4.4,4,5,3,Beauty,0,BrandAlpha,0,3597.83,8.188364071620256,12,0.024,1210,7.099201743553092,0.1486,0.14778078348862841,-0.1473,64.48,0.6447868721232739,0.073,True
ITEM_0452,4,4,0,0.0,0,0.0,0.0,0,1.3,1,1,1,Beauty,0,BrandAlpha,0,3718.82,8.221430558999725,83,0.166,404,6.003887067106539,0.5164,0.516280933774171,0.8876,7.57,0.07534520712427457,0.155,True
ITEM_0248,8,7,2,0.25,9,17833.95,8916.975,2,2.8,1,4,2,Beauty,0,BrandAlpha,0,1981.55,7.592139173871925,462,0.924,98,4.59511985013459,0.8759,0.8764652840396754,-0.462,63.98,0.6397838703221933,0.068,True
ITEM_0439,16,16,4,0.25,9,20561.13,5140.2825,4,4.1,4,9,2,Beauty,0,BrandAlpha,0,2284.57,7.734370725174139,320,0.64,1716,7.448333860897476,0.4919,0.4917342951608055,0.4703,82.06,0.8206924154492695,0.123,True
ITEM_0168,7,7,1,0.14285714285714285,5,16729.4,16729.4,1,2.4,2,4,0,Books,1,BrandAlpha,0,3345.88,8.115783847565904,449,0.898,1468,7.292337176173877,0.609,0.6090572086965234,0.775,8.16,0.08124874924954974,0.008,True
ITEM_0130,4,4,3,0.75,8,33266.72,11088.906666666668,3,4.4,2,1,1,Books,1,BrandAlpha,0,4158.34,8.333111686822303,468,0.936,1812,7.502738210754851,0.2862,0.28564272117022343,-0.6471,91.73,0.9174504702821693,0.276,True
ITEM_0380,10,8,2,0.2,4,16959.96,8479.98,2,3.0,4,1,2,Books,1,BrandAlpha,0,4239.99,8.35255201153736,399,0.798,787,6.669498089857879,0.0832,0.08225628694519586,0.3892,88.64,0.8865319191514909,0.223,True
ITEM_0394,9,9,1,0.1111111111111111,1,2741.4,2741.4,1,2.1,5,1,0,Books,1,BrandAlpha,0,2741.4,7.916588728403461,66,0.132,1941,7.571473648851271,0.6219,0.6219817653541729,-0.2786,69.18,0.691815089053432,0.228,True
ITEM_0424,2,2,1,0.5,3,10447.77,10447.77,1,4.6,1,0,0,Books,1,BrandAlpha,0,3482.59,8.155818650220827,253,0.506,741,6.60934924316738,0.3816,0.38122432621981767,0.4913,18.01,0.17980788473083853,0.091,True
ITEM_0431,15,15,2,0.13333333333333333,8,4298.4,2149.2,2,2.0,6,4,4,Books,1,BrandAlpha,0,537.3,6.288416025566912,251,0.502,1280,7.155396301896734,0.7319,0.7321911632100992,0.6944,66.96,0.6696017610566338,0.271,True
ITEM_0332,9,9,4,0.4444444444444444,14,18724.02,4681.005,4,3.6,3,4,0,Books,1,BrandAlpha,0,1337.43,7.199252564245076,147,0.294,120,4.795790545596741,0.6505,0.6506362087967137,-0.9397,91.37,0.9138483089853913,0.11,True
ITEM_0449,9,9,3,0.3333333333333333,10,41528.6,13842.866666666667,3,1.8,2,4,2,Books,1,BrandAlpha,0,4152.86,8.331793301412652,10,0.02,456,6.124683390894205,0.5559,0.5558561266406171,0.7845,86.58,0.8659195517310385,0.199,True
ITEM_0151,5,5,6,1.2,17,84571.26,14095.21,6,3.6,4,1,0,Clothing,2,BrandAlpha,0,4974.78,8.512337421222977,216,0.432,1514,7.323170717943469,0.5115,0.5113716060514978,-0.9861,24.74,0.24714828897338403,0.1,True
ITEM_0171,8,8,0,0.0,0,0.0,0.0,0,4.7,5,0,3,Clothing,2,BrandAlpha,0,4676.96,8.45061739644489,204,0.408,560,6.329720905522696,0.6692,0.6693718064322213,-0.8858,78.95,0.7895737442465479,0.257,True
ITEM_0136,6,6,6,1.0,16,38912.64,6485.44,6,3.2,2,3,0,Clothing,2,BrandAlpha,0,2432.04,7.796896783256679,371,0.742,1724,7.45298232946546,0.5682,0.5681795411281435,0.3209,88.68,0.8869321592955773,0.051,True
ITEM_0191,12,11,2,0.16666666666666666,7,14783.16,7391.58,2,4.7,6,5,1,Clothing,2,BrandAlpha,0,2111.88,7.655807224711368,91,0.182,1461,7.2875606403097235,0.2693,0.26871055004508565,-0.1501,62.15,0.6214728837302381,0.243,True
ITEM_0054,7,7,1,0.14285714285714285,2,9365.3,9365.3,1,2.2,3,3,0,Clothing,2,BrandAlpha,0,4682.65,8.45183299946631,375,0.75,1847,7.521859252201629,0.8513,0.8518184550646227,-0.3986,83.68,0.8369021412847709,0.296,True
ITEM_0203,5,5,3,0.6,11,46677.29,15559.096666666666,3,1.2,0,1,2,Clothing,2,BrandAlpha,0,4243.39,8.353353389951046,322,0.644,230,5.442417710521793,0.3842,0.383829275623685,0.0812,2.45,0.02411446868120873,0.229,True
ITEM_0100,11,11,3,0.2727272727272727,10,43037.3,14345.766666666668,2,3.3,6,2,1,Clothing,2,BrandAlpha,0,4303.73,8.367469697124955,219,0.438,1872,7.5352967024440884,0.6086,0.6086564472497746,0.4103,68.67,0.6867120272163297,0.258,True
ITEM_0416,9,9,3,0.3333333333333333,4,507.92,169.30666666666667,3,1.4,7,0,0,Electronics,3,BrandAlpha,0,126.98,4.851874001711314,224,0.448,1816,7.504942068396171,0.0968,0.09588217613465584,0.5369,0.96,0.009205523313988393,0.184,True
