user_id,item_id,ui_total_interactions,ui_views,ui_clicks,ui_carts,ui_purchases_events,ui_interaction_score,ui_interaction_score_norm,ui_has_purchased
USER_0102,ITEM_0161,1,1,0,0,0,1,0.0,0
USER_0084,ITEM_0443,1,0,1,0,0,2,0.1111111111111111,0
USER_0094,ITEM_0179,1,0,1,0,0,2,0.1111111111111111,0
USER_0107,ITEM_0092,1,1,0,0,0,1,0.0,0
USER_0089,ITEM_0359,1,0,1,0,0,2,0.1111111111111111,0
USER_0091,ITEM_0128,1,0,1,0,0,2,0.1111111111111111,0
USER_0101,ITEM_0029,1,0,1,0,0,2,0.1111111111111111,0
USER_0091,ITEM_0100,1,1,0,0,0,1,0.0,0
USER_0182,ITEM_0499,1,0,0,0,1,5,0.4444444444444444,0
USER_0154,ITEM_0189,1,0,1,0,0,2,0.1111111111111111,0
USER_0047,ITEM_0296,1,1,0,0,0,1,0.0,0
USER_0087,ITEM_0357,1,0,0,1,0,3,0.2222222222222222,0
USER_0034,ITEM_0234,1,1,0,0,0,1,0.0,0
USER_0152,ITEM_0237,1,0,1,0,0,2,0.1111111111111111,0
USER_0146,ITEM_0232,1,0,1,0,0,2,0.1111111111111111,0
USER_0139,ITEM_0310,1,0,0,1,0,3,0.2222222222222222,0
USER_0154,ITEM_0234,1,1,0,0,0,1,0.0,0
USER_0088,ITEM_0141,1,1,0,0,0,1,0.0,0
USER_0158,ITEM_0455,1,0,1,0,0,2,0.1111111111111111,0
USER_0063,ITEM_0027,1,0,0,1,0,3,0.2222222222222222,1
USER_0015,ITEM_0233,1,0,1,0,0,2,0.1111111111111111,0
USER_0189,ITEM_0358,1,0,0,1,0,3,0.2222222222222222,0
USER_0171,ITEM_0364,1,0,0,0,1,5,0.4444444444444444,0
USER_0124,ITEM_0395,1,0,0,0,1,5,0.4444444444444444,0
USER_0114,ITEM_0400,1,0,0,1,0,3,0.2222222222222222,0
USER_0158,ITEM_0133,1,1,0,0,0,1,0.0,0
USER_0146,ITEM_0264,1,1,0,0,0,1,0.0,0
USER_0141,ITEM_0378,1,0,0,0,1,5,0.4444444444444444,0
USER_0170,ITEM_0088,1,0,0,1,0,3,0.2222222222222222,0
USER_0058,ITEM_0177,1,1,0,0,0,1,0.0,0
USER_0009,ITEM_0473,2,0,2,0,0,4,0.3333333333333333,0
USER_0162,ITEM_0333,1,1,0,0,0,1,0.0,0
USER_0023,ITEM_0294,1,0,0,0,1,5,0.4444444444444444,0
USER_0102,ITEM_0420,1,1,0,0,0,1,0.0,0
USER_0134,ITEM_0035,1,0,1,0,0,2,0.1111111111111111,0
USER_0070,ITEM_0296,1,0,1,0,0,2,0.1111111111111111,0
USER_0164,ITEM_0300,1,0,1,0,0,2,0.1111111111111111,0
USER_0023,ITEM_0430,1,1,0,0,0,1,0.0,0
USER_0092,ITEM_0055,1,1,0,0,0,1,0.0,1
USER_0060,ITEM_0158,1,0,1,0,0,2,0.1111111111111111,0
USER_0065,ITEM_0470,1,0,0,0,1,5,0.4444444444444444,0
USER_0184,ITEM_0208,1,1,0,0,0,1,0.0,0
USER_0055,ITEM_0497,1,0,1,0,0,2,0.1111111111111111,0
USER_0133,ITEM_0332,1,0,0,0,1,5,0.4444444444444444,0
USER_0106,ITEM_0135,1,0,1,0,0,2,0.1111111111111111,0
USER_0119,ITEM_0112,1,0,0,1,0,3,0.2222222222222222,0
USER_0073,ITEM_0116,1,0,0,1,0,3,0.2222222222222222,0
USER_0122,ITEM_0135,1,1,0,0,0,1,0.0,0
USER_0090,ITEM_0455,1,1,0,0,0,1,0.0,0
USER_0183,ITEM_0068,1,1,0,0,0,1,0.0,0
